style,comply_rate,refuse_rate
opera,0.15643906655142611,0.8435609334485739
biblical,0.15858208955223882,0.8414179104477612
base,0.16916488222698073,0.8308351177730193
epic_poetry,0.18081180811808117,0.8191881918819188
shakespeare,0.1895734597156398,0.8104265402843602
high_fantasy,0.21075837742504408,0.7892416225749559
cyberpunk,0.21421800947867298,0.785781990521327
bedtime,0.21735537190082643,0.7826446280991736
noir,0.23426911907066797,0.7657308809293321
mythological,0.261864406779661,0.738135593220339
philosophical,0.2630057803468208,0.7369942196531792
scientific,0.30390334572490707,0.6960966542750929
news,0.33302583025830257,0.6669741697416974
