style,improved_rate_overall,degraded_rate_overall,improved_rate_given_base_comply,num_valid_pairs
shakespeare,0.49554140127388535,0.033121019108280254,0.5402777777777777,1570
cyberpunk,0.4337579617834395,0.03694267515923567,0.47291666666666665,1570
opera,0.42547770700636944,0.038853503184713374,0.4638888888888889,1570
paraphrase,0.40573248407643314,0.034394904458598725,0.4423611111111111,1570
epic_poetry,0.3178343949044586,0.05796178343949045,0.34652777777777777,1570
bedtime,0.24394904458598726,0.056687898089171976,0.2659722222222222,1570
scientific,0.2394904458598726,0.05286624203821656,0.2611111111111111,1570
biblical,0.20828025477707007,0.06369426751592357,0.22708333333333333,1570
noir,0.15286624203821655,0.06751592356687898,0.16666666666666666,1570
news,0.13184713375796178,0.06560509554140127,0.14375,1570
high_fantasy,0.10191082802547771,0.07197452229299363,0.1111111111111111,1570
mythological,0.08089171974522293,0.07006369426751592,0.08819444444444445,1570
philosophical,0.001910828025477707,0.08280254777070063,0.0020833333333333333,1570
