style,improved_rate_overall,degraded_rate_overall,improved_rate_given_base_comply,num_valid_pairs
shakespeare,0.16468842729970326,0.12462908011869436,0.7816901408450704,674
opera,0.15934065934065933,0.09065934065934066,0.7532467532467533,728
epic_poetry,0.1575037147102526,0.13075780089153047,0.75177304964539,673
bedtime,0.14754098360655737,0.2062841530054645,0.7448275862068966,732
biblical,0.15789473684210525,0.13513513513513514,0.7302631578947368,703
mythological,0.1411451398135819,0.1877496671105193,0.7066666666666667,751
high_fantasy,0.14051841746248295,0.18281036834924966,0.6912751677852349,733
cyberpunk,0.14583333333333334,0.2125,0.6907894736842105,720
philosophical,0.13538461538461538,0.17846153846153845,0.6821705426356589,650
noir,0.13150684931506848,0.20821917808219179,0.6274509803921569,730
scientific,0.11826347305389222,0.25299401197604793,0.5524475524475524,668
news,0.11246200607902736,0.2750759878419453,0.5211267605633803,658
