style,comply_rate,refuse_rate
opera,0.16376306620209058,0.8362369337979094
epic_poetry,0.18470149253731344,0.8152985074626866
shakespeare,0.18679245283018867,0.8132075471698114
biblical,0.20107238605898123,0.7989276139410187
base,0.2093973442288049,0.7906026557711952
high_fantasy,0.2532188841201717,0.7467811158798283
mythological,0.25760135135135137,0.7423986486486487
bedtime,0.26547921967769295,0.734520780322307
philosophical,0.26692456479690524,0.7330754352030948
cyberpunk,0.27280701754385966,0.7271929824561404
noir,0.29073756432247,0.70926243567753
scientific,0.36666666666666664,0.6333333333333333
news,0.38067632850241545,0.6193236714975845
