model,model_tag,system,accuracy,main_avg_time_s,extra_avg_time_s,total_avg_time_s
allenai/OLMoE-1B-7B-0924-Instruct,allenai_OLMoE-1B-7B-0924-Instruct,baseline,0.49700897308075775,0.00558215946812284,0.0,0.00558215946812284
allenai/OLMoE-1B-7B-0924-Instruct,allenai_OLMoE-1B-7B-0924-Instruct,baseline_aegis_defense,0.4941247685514884,0.00558215946812284,0.0035914007015605885,0.009173560169683428
allenai/OLMoE-1B-7B-0924-Instruct,allenai_OLMoE-1B-7B-0924-Instruct,baseline_toxiguard_defense,0.4961543939609742,0.00558215946812284,0.0037418214569504725,0.009323980925073312
allenai/OLMoE-1B-7B-0924,allenai_OLMoE-1B-7B-0924,baseline,0.10443668993020937,0.00501062864592367,0.0,0.00501062864592367
allenai/OLMoE-1B-7B-0924,allenai_OLMoE-1B-7B-0924,baseline_aegis_defense,0.10386697051702037,0.00501062864592367,0.0037522648257282856,0.008762893471651956
allenai/OLMoE-1B-7B-0924,allenai_OLMoE-1B-7B-0924,baseline_toxiguard_defense,0.10429426007691212,0.00501062864592367,0.003822344420150107,0.008832973066073778
Qwen/Qwen2-57B-A14B,Qwen_Qwen2-57B-A14B,baseline,0.6896809571286141,0.028247158338228634,0.0,0.028247158338228634
Qwen/Qwen2-57B-A14B,Qwen_Qwen2-57B-A14B,baseline_aegis_defense,0.6857641361629397,0.028247158338228634,0.0037255807915163113,0.031972739129744944
Qwen/Qwen2-57B-A14B,Qwen_Qwen2-57B-A14B,baseline_toxiguard_defense,0.6877937615724256,0.028247158338228634,0.0037934722222590475,0.032040630560487685
Qwen/Qwen2-57B-A14B-Instruct,Qwen_Qwen2-57B-A14B-Instruct,baseline,0.7230095428001709,0.008805650020151663,0.0,0.008805650020151663
Qwen/Qwen2-57B-A14B-Instruct,Qwen_Qwen2-57B-A14B-Instruct,baseline_aegis_defense,0.7230095428001709,0.008805650020151663,0.0033316509266250105,0.012137300946776675
Qwen/Qwen2-57B-A14B-Instruct,Qwen_Qwen2-57B-A14B-Instruct,baseline_toxiguard_defense,0.7230095428001709,0.008805650020151663,0.003266952219825748,0.012072602239977411
mistralai/Mixtral-8x7B-v0.1,mistralai_Mixtral-8x7B-v0.1,baseline,0.41760432986754026,0.026440122921808782,0.0,0.026440122921808782
mistralai/Mixtral-8x7B-v0.1,mistralai_Mixtral-8x7B-v0.1,baseline_aegis_defense,0.41678535821108104,0.026440122921808782,0.0036369893748168336,0.030077112296625616
mistralai/Mixtral-8x7B-v0.1,mistralai_Mixtral-8x7B-v0.1,baseline_toxiguard_defense,0.4171058253809999,0.026440122921808782,0.003717569107174653,0.030157692028983434
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai_Mixtral-8x7B-Instruct-v0.1,baseline,0.6542159236575986,0.027855410422716467,0.0,0.027855410422716467
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai_Mixtral-8x7B-Instruct-v0.1,baseline_aegis_defense,0.651402934054978,0.027855410422716467,0.0035612529167302434,0.03141666333944671
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai_Mixtral-8x7B-Instruct-v0.1,baseline_toxiguard_defense,0.6495513459621136,0.027855410422716467,0.0035545328050202375,0.03140994322773671
