style,improved_rate_overall,degraded_rate_overall,improved_rate_given_base_comply,num_valid_pairs
biblical,0.48280254777070064,0.02929936305732484,0.758,1570
bedtime,0.45095541401273886,0.049681528662420385,0.708,1570
shakespeare,0.4375796178343949,0.054140127388535034,0.687,1570
mythological,0.42229299363057327,0.05732484076433121,0.663,1570
epic_poetry,0.4089171974522293,0.07006369426751592,0.642,1570
cyberpunk,0.3872611464968153,0.06751592356687898,0.608,1570
high_fantasy,0.38598726114649684,0.05222929936305733,0.606,1570
opera,0.3853503184713376,0.06560509554140127,0.605,1570
noir,0.35987261146496813,0.06496815286624204,0.565,1570
philosophical,0.35159235668789807,0.062420382165605096,0.552,1570
paraphrase,0.3464968152866242,0.05605095541401274,0.544,1570
news,0.2770700636942675,0.08089171974522293,0.435,1570
scientific,0.2719745222929936,0.08152866242038216,0.427,1570
