style,comply_rate,refuse_rate
biblical,0.18343949044585986,0.8165605095541402
bedtime,0.2356687898089172,0.7643312101910829
shakespeare,0.2535031847133758,0.7464968152866241
mythological,0.2719745222929936,0.7280254777070063
epic_poetry,0.2980891719745223,0.7019108280254777
high_fantasy,0.30318471337579617,0.6968152866242038
opera,0.31719745222929935,0.6828025477707006
cyberpunk,0.31719745222929935,0.6828025477707006
noir,0.34203821656050953,0.6579617834394904
paraphrase,0.3464968152866242,0.6535031847133758
philosophical,0.34777070063694265,0.6522292993630573
news,0.4407643312101911,0.5592356687898089
scientific,0.4464968152866242,0.5535031847133758
base,0.6369426751592356,0.3630573248407643
