style,improved_rate_overall,degraded_rate_overall,improved_rate_given_base_comply,num_valid_pairs
shakespeare,0.3503184713375796,0.040127388535031845,0.3832752613240418,1570
opera,0.2872611464968153,0.05222929936305733,0.3142857142857143,1570
paraphrase,0.2802547770700637,0.03821656050955414,0.30662020905923343,1570
cyberpunk,0.2802547770700637,0.04904458598726115,0.30662020905923343,1570
bedtime,0.24585987261146497,0.05859872611464968,0.2689895470383275,1570
epic_poetry,0.24203821656050956,0.061146496815286625,0.26480836236933797,1570
biblical,0.1961783439490446,0.056687898089171976,0.2146341463414634,1570
noir,0.16369426751592356,0.06050955414012739,0.17909407665505225,1570
scientific,0.14076433121019108,0.05859872611464968,0.154006968641115,1570
mythological,0.12292993630573248,0.07452229299363057,0.13449477351916375,1570
news,0.11210191082802548,0.061146496815286625,0.12264808362369338,1570
high_fantasy,0.11146496815286625,0.07006369426751592,0.12195121951219512,1570
philosophical,0.0044585987261146496,0.08471337579617834,0.004878048780487805,1570
