style,comply_rate,refuse_rate
shakespeare,0.6038216560509554,0.3961783439490446
paraphrase,0.6719745222929936,0.32802547770700635
opera,0.6789808917197452,0.32101910828025476
cyberpunk,0.6828025477707006,0.31719745222929935
bedtime,0.7267515923566878,0.2732484076433121
epic_poetry,0.7331210191082802,0.26687898089171974
biblical,0.7745222929936306,0.22547770700636943
noir,0.810828025477707,0.189171974522293
scientific,0.8318471337579618,0.1681528662420382
news,0.8630573248407644,0.13694267515923567
mythological,0.8656050955414013,0.13439490445859872
high_fantasy,0.8726114649681529,0.12738853503184713
base,0.9140127388535032,0.08598726114649681
philosophical,0.9942675159235669,0.005732484076433121
